id,source,hypothesis,reference,bleu,rouge1,rouge2,rougeL,bertscore_f1
168,"Der Stab des Gouverneurs entließ die Klage als frivol, und der Online-Kommentar war voll von einer Gegenreaktion mit ""Na, und?"" .","The governor's staff dismissed the lawsuit as frivolous, and the online comment was full of a counter-reaction with ""Well, and?"" .","The governor's staff dismissed the lawsuit as frivolous, and the online commentary was rich with a ""who cares?"" backlash.",48.9025,0.7143,0.55,0.6667,0.9288
169,"""Es ist nur Facebook"", sagten viele Leute.","""It's just Facebook,"" many people said.","""It's only Facebook,"" plenty of folks said.",20.7728,0.5333,0.1538,0.5333,0.9686
170,Aber es ist wichtig.,But it's important.,But it matters.,18.9959,0.5714,0.4,0.5714,0.9726
171,"Und es ist besonders wichtig, wenn es ein Typ wie Hogan ist.",And it's especially important if it's a guy like Hogan.,And it especially matters when it's a guy like Hogan.,49.6168,0.7826,0.5714,0.7826,0.9811
172,"Dies ist ein republikanischer Gouverneur in einem überwältigend demokratischen Staat, der erstaunlich beliebt ist.",This is a Republican governor in an overwhelmingly democratic state that is amazingly popular.,This is a Republican governor in an overwhelmingly Democratic state who is astonishingly popular.,54.4518,0.8571,0.6923,0.8571,0.9764
173,Er hat die zweithöchste Zustimmung der 50 Gouverneure der Nation.,He has the second highest approval of the 50 governors of the nation.,He has the second-highest approval rating of the nation's 50 governors.,16.5446,0.8462,0.6667,0.7692,0.9642
174,Hogan ist kein reaktionärer Hitzkopf.,Hogan is not a reactionary Hitzkopf.,Hogan is not a reactionary hothead.,64.3459,0.8333,0.8,0.8333,0.9214
175,Er hat eine feste Hand bei der Führung seines Staates und strenge Einhaltung der Prinzipien gezeigt.,He has shown a firm hand in the leadership of his state and strict adherence to the principles.,He's shown a steady hand in leading his state and a stern adherence to principles.,13.724,0.6471,0.3125,0.6471,0.962
176,"Er war auch sehr geschickt darin, Facebook als primäres Mittel zu nutzen, um sich mit seinen Wählern zu verbinden und spielend seinen haarlosen Kopf nach Chemotherapie auf seiner Seite zu debütieren.",He was also very skilled in using Facebook as a primary means of connecting with his voters and playing his hairless head after chemotherapy on his side.,"He's also been pretty deft at using Facebook as a primary means to connect with his constituents, playfully debuting his hairless head after chemo treatments on his page.",27.6824,0.6429,0.4074,0.6429,0.9254
177,"Daher ist die Blockierung von Personen, die auf die Seite des Gouverneurs kommen - die ein öffentliches Forum ist, das als offiziell bezeichnet wird und von Mitarbeitern, die mit öffentlichen Steuer-Dollars bezahlt werden - unnötig und letztendlich gefährlich.","Therefore, the blocking of people who come to the governor's side - which is a public forum called official and by employees who are paid with public tax dollars - is unnecessary and ultimately dangerous.","So blocking people who come to the governor's page - which is a public forum, labeled as official and administered by staff members paid public tax dollars - is unnecessary and ultimately dangerous.",52.0655,0.7576,0.5625,0.7576,0.9382
178,"In einem Interview mit The Washington Post verteidigte Hogans Sprecherin Amelia Chasse die Handlungen des Gouverneurs und argumentierte, dass die Blockierung der Kommentare nichts weiter als eine Moderation sei.","In an interview with The Washington Post, Hogan's spokesman Amelia Chasse defended the governor's actions and argued that blocking the comments was nothing more than a moderation.","In an interview with The Washington Post, Hogan spokeswoman Amelia Chasse defended the governor's actions, arguing that blocking the comments was nothing more than moderating them.",63.1921,0.8929,0.7778,0.8929,0.9698
179,"Aber es ist zu einfach, das Bild von Trollen oder Spammern oder hasserfüllten Leuten zu benutzen, die online die Peitsche schwingen.",But it's too easy to use the image of trolls or spammers or hateful people swinging the whip online.,But it's too easy to use the image of trolls or spammers or hateful folks lashing out online.,71.0116,0.8205,0.7568,0.8205,0.9797
180,"Die Post sprach mit einigen der wirklichen Leute, die von Hogan blockiert wurden.",The mail spoke to some of the real people who were blocked by Hogan.,The Post talked to some of the real people blocked by Hogan.,50.3892,0.7692,0.5833,0.7692,0.9581
181,"Und das sind nur echte Menschen, die mit ihren gewählten Führern sprechen: ein Lehrer, ein Unternehmer und ein Pfarrer, keine Trolle.","And these are only real people who speak to their elected leaders: a teacher, an entrepreneur and a pastor, not trolls.","And they're just that - real people talking to their elected leaders: a teacher, a business owner and a pastor, not trolls.",51.4413,0.6512,0.4878,0.6512,0.9589
182,"Sie alle sagten, dass ihre Kommentare respektvoll, nachdenklich und nicht profan waren.","They all said that their comments were respectful, thoughtful and not profane.","They all said that their comments were respectful, thoughtful and not profane.",100.0,1.0,1.0,1.0,1.0
183,Der Pfarrer zitierte die Bibel in seinem Post und appellierte an Hogans katholischen Glauben.,The priest quoted the Bible in his post and appealed to Hogan's Catholic faith.,"The pastor quoted the Bible in his post, appealing to Hogan's Catholic faith.",58.2823,0.8966,0.7407,0.8966,0.9857
184,"Rechtsanwältin Lakshmi Sarma Ramani von Bowie, Md., war nicht hasserfüllt, aber sie fragte nach Hassverbrechen.","Lawyer Lakshmi Sarma Ramani von Bowie, Ms., was not hateful, but she asked about hate crimes.","Attorney Lakshmi Sarma Ramani of Bowie, Md., wasn't hateful, but she asked about hate crimes.",50.3288,0.6875,0.5333,0.6875,0.9641
185,"""Ich kommentierte höflich, dass ich enttäuscht war, dass es keine Reaktion auf Hassverbrechen und andere aktuelle Nachrichten gab"", schrieb sie im Kommentarbereich der Nachrichtensendung ""The Post"".","""I politely commented that I was disappointed that there was no response to hate crimes and other news,"" she wrote in the comment section of the news broadcast ""The Post"".","""I politely commented that I was disappointed in his lack of response to hate crimes and other recent news items,"" she wrote in the comment section of The Post's news story.",54.91,0.7742,0.6333,0.7419,0.9505
186,"""Ich schätze diese Idee auch nicht, wenn eine Anzahl von Leuten zum selben Thema Stellung nimmt, dann werden sie von manchen eher als ein so genannter kollektiver Einsatz missachtet und nicht als eine große Gruppe von betroffenen Bürgern anerkannt"".","""I don't appreciate this idea either, when a number of people comment on the same subject, they are more likely to be disregarded by some as a so-called collective effort and not recognized as a large group of affected citizens.""","""I also do not appreciate that idea that when a number of people comment on the same topic, they are immediately disregarded by some as a so-called collective effort, rather than recognized as a large group of concerned citizens.""",50.5099,0.7561,0.55,0.7317,0.9606
187,"Was die Mitarbeiter des Gouverneurs als ""konzentrierten Spam-Angriff"" bezeichneten, würden andere wahrscheinlich ""Fürsprache"" nennen.","What the governor's staff called a ""concentrated spam attack"" would probably be called ""intercession.""","What the governor's staff called a ""concentrated spam attack"" others would probably call ""advocacy.""",62.0883,0.8667,0.7143,0.8667,0.957
188,"Die Facebook-Ära macht es einfach, eine Nachricht zuzuschneiden, indem man einfach einen Kritiker blockiert oder ein negativer Kommentar gelöscht wird.",The Facebook era makes it easy to cut a message by simply blocking a critic or deleting a negative comment.,The Facebook era makes it easy to tailor a message by simply blocking a critic or deleting a negative comment.,86.5603,0.95,0.8947,0.95,0.9894
189,"Es ist viel sauberer als in früherer Zeit, wenn man das gleiche getan hätte, dass Mitarbeiter entsandt wurden, um Zeitungen mit kritischen Leitartikeln zu sammeln und zu verbrennen oder Demonstranten zu verhaften und zum Schweigen zu bringen.",It's much cleaner than in the past if you'd done the same thing that employees were sent to collect and burn newspapers with critical editorials or arrest demonstrators and silence them.,"It's a lot cleaner than the old days, when doing the same would have required sending staff out to collect and burn newspapers with critical editorials or arresting and silencing protesters.",29.2311,0.5846,0.4127,0.5846,0.9354
190,Aber genau das passiert gerade digital.,But that's exactly what's happening digitally.,"But that's exactly what's happening, only digitally.",53.1375,0.9412,0.8,0.9412,0.9741
191,"Hogan ist nicht der erste öffentliche Beamte, der dafür kritisiert wird, dass er Facebook und andere soziale Medien beschimpft hat.",Hogan is not the first public official to be criticised for insulting Facebook and other social media.,Hogan isn't the first public official to be criticized for defanging Facebook and other social media.,54.9996,0.7647,0.5625,0.7647,0.9775
192,"Präsident Trump wird von Twitter-Nutzern verklagt, die von seinem Twitter-Feed blockiert wurden.",President Trump is sued by Twitter users who have been blocked by his Twitter feed.,President Trump is being sued by Twitter users who were blocked from his Twitter feed.,46.8591,0.8,0.5714,0.8,0.9701
193,Einer der ersten Meilensteine in dieser Frage fiel letzte Woche in Virginia.,One of the first milestones on this issue fell last week in Virginia.,One of the first landmark rulings on this issue came down last week in Virginia.,46.235,0.7857,0.6154,0.7857,0.9474
194,"Der Vorsitzende des Board of Supervisors des Loudoun County verletzte das First Amendment, laut US-Bezirksrichter James C. Cacheris in Alexandria, als sie einen Wähler von ihrer Facebook-Seite verbannte.","The chairman of the Board of Supervisors of Loudoun County violated the First Amendment, according to US district judge James C. Cacheris in Alexandria, when she banished a voter from her Facebook page.","The chair of the Loudoun County Board of Supervisors violated the First Amendment, according to U.S. District Judge James C. Cacheris in Alexandria, when she banned a constituent from her Facebook page.",50.3759,0.8485,0.625,0.7879,0.9782
195,Und in Kentucky erhielt Gouverneur Matt Bevin (R) auch einen Besuch von der ACLU wegen seiner Verwendung von Facebook und Twitter.,"And in Kentucky, Governor Matt Bevin (R) also received a visit from ACLU because of his use of Facebook and Twitter.","And in Kentucky, Gov. Matt Bevin (R) also got a visit from the ACLU over his use of Facebook and Twitter.",54.8536,0.8095,0.6,0.8095,0.9838
196,Das sollte nicht so schwer sein.,It shouldn't be that hard.,This shouldn't be so hard.,22.9575,0.6667,0.4,0.6667,0.9697
197,Zur Zeit Washingtons hatte die Zeit des erschwinglichen Portos eine ähnliche Wirkung wie das Internet.,"At the time of Washington, the time of affordable postage had a similar effect to the Internet.","In Washington's time, the era of affordable postage had an impact much like the Internet.",20.9734,0.5455,0.2581,0.4848,0.9613
198,"Die Anzahl der Zeitungen vervielfachte sich zwischen 1776 und 1800, und anonyme Briefschreiber schlugen auf seine Führung ein.","The number of newspapers multiplied between 1776 and 1800, and anonymous pens beat his lead.","The number of newspapers quadrupled between 1776 and 1800, and anonymous letter writers hammered his leadership.",48.7888,0.7097,0.5517,0.7097,0.9434
199,Und selbst damals hatte Washington anonyme Trolle.,"And even then, Washington had anonymous trolls.","And even back then, Washington had anonymous trolls.",71.8939,0.9333,0.7692,0.9333,0.9844
